,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
63,Breathe,Take Shelter,Years & Years,2014-01-01,233228,64,0.746,0.222,0.746,0.486,1.41e-06,0.123,-7.004,0.0344,92.057,4
64,I Like Me Better,I met you when I was 18. (the playlist),Lauv,2018-05-31,197436,82,0.752,0.535,0.752,0.505,2.55e-06,0.104,-7.621,0.253,91.97,4
65,GALOPA,GALOPA,PEDRO SAMPAIO,2021-09-16,140500,77,0.763,0.285,0.763,0.85,0.0,0.104,-4.036,0.0409,150.009,4
66,Where The Wild Things,Where The Wild Things,Labrinth,2019-10-31,198401,0,0.609,0.109,0.609,0.522,1.06e-05,0.138,-5.569,0.0655,139.991,4
67,Saturday Nights,Suncity,Khalid,2018-10-19,209546,62,0.54,0.635,0.54,0.439,1.93e-05,0.0993,-8.591,0.115,167.908,4
68,Shivers,Shivers,Ed Sheeran,2021-09-13,207853,80,0.788,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,4
69,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,2021-09-17,220433,82,0.583,0.0374,0.583,0.67,0.0001,0.126,-7.289,0.0646,140.061,4
70,"Rave do Tuim 2 (feat. Mc Rd, Mc Gw, Bob Anne, DJ DN, Megabaile Do Areias, DJ Douglinhas, DJ Tezinho, JC NO BEAT & DJ Ery) - Mansão Funk Rave","Rave do Tuim 2 (feat. Mc Rd, Mc Gw, Bob Anne, DJ DN, Megabaile Do Areias, DJ Douglinhas, DJ Tezinho, JC NO BEAT & DJ Ery) [Mansão Funk Rave]",Dj W-Beatz,2021-05-07,150288,25,0.765,0.0729,0.765,0.819,0.0198,0.0939,-6.229,0.205,132.049,4
71,everything sucks,everything sucks,vaultboy,2021-05-21,115401,76,0.76,0.00772,0.76,0.371,0.0,0.0785,-8.964,0.0531,138.023,4
72,Like I Can,In The Lonely Hour (Deluxe),Sam Smith,2014-01-01,167065,53,0.656,0.343,0.656,0.627,2.17e-05,0.124,-6.627,0.0379,99.933,4
73,Mood (feat. iann dior),El Dorado,24kGoldn,2021-03-26,140533,85,0.701,0.174,0.701,0.716,0.0,0.324,-3.671,0.0361,91.007,4
74,Shivers,Shivers,Ed Sheeran,2021-09-10,207853,16,0.788,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,4
75,Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,41,0.808,0.0469,0.808,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4
76,Bad Day,Bad Day,Justus Bennetts,2021-09-07,108800,71,0.883,0.0125,0.883,0.713,0.0,0.45,-4.684,0.307,89.025,4
77,Giants,Giants,Dermot Kennedy,2020-06-24,177173,63,0.579,0.0145,0.579,0.839,3.04e-05,0.201,-5.409,0.0703,158.141,4
78,Dandelions,Safe Haven,Ruth B.,2017-05-05,233720,90,0.609,0.0157,0.609,0.692,0.0,0.0864,-2.958,0.0259,116.959,3
79,Honeypie,For Abby,JAWNY,2020-10-27,135581,75,0.74,0.061,0.74,0.688,0.0,0.138,-4.361,0.0916,115.035,4
80,Choker,Scaled And Icy,Twenty One Pilots,2021-05-21,223065,66,0.7,0.306,0.7,0.664,1.89e-05,0.249,-8.211,0.0394,142.009,4
81,Rave Breaking Free,Eae DJ Topo,DJ TOPO,2020-07-24,234000,30,0.551,0.329,0.551,0.577,0.0,0.134,-5.792,0.236,129.711,4
82,Young & Alive,Young & Alive,Bazzi,2020-03-05,160465,67,0.716,0.326,0.716,0.563,0.0,0.119,-5.486,0.0425,86.005,4
83,NINGUÉM ME ENSINOU,NINGUÉM ME ENSINOU,Lagum,2020-10-02,157705,57,0.684,0.0221,0.684,0.644,1.8e-05,0.0664,-7.69,0.0509,127.866,4
84,Roct Pot 02 (MC Laranjinha),Roct Pot 02 (MC Laranjinha),GORDÃO DO PC,2021-04-02,107076,0,0.819,0.37,0.819,0.759,0.00792,0.0863,0.591,0.295,86.059,5
85,Heartbeats,Heartbeats,Tom Walker,2019-10-03,192233,42,0.45,0.0639,0.45,0.753,0.0,0.0952,-5.461,0.11,169.996,4
86,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,About Love (From The Netflix Film “To All The Boys: P.S. I Still Love You”),MARINA,2020-02-07,214106,60,0.636,0.331,0.636,0.758,1.01e-05,0.16,-5.567,0.0427,97.025,4
87,Rise,Blue,Jonas Blue,2018-11-09,194407,71,0.687,0.327,0.687,0.785,0.0,0.203,-4.65,0.0333,106.046,4
88,My Type,My Type EP,Saint Motel,2014-08-16,204811,68,0.595,0.0641,0.595,0.896,5.82e-05,0.0748,-2.951,0.047,118.001,4
89,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,89,0.591,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4
90,Passarinho Que Som É Esse,Passarinho Que Som É Esse,DJ TOPO,2021-08-06,148615,59,0.889,0.538,0.889,0.78,0.00344,0.088,-5.208,0.14,130.042,4
91,Getting Older,Happier Than Ever,Billie Eilish,2021-07-30,244221,74,0.599,0.974,0.599,0.128,0.121,0.115,-17.261,0.109,159.679,4
92,YOUTH,Blue Neighbourhood (Deluxe),Troye Sivan,2015-12-09,185194,72,0.628,0.0625,0.628,0.737,0.0,0.0777,-4.437,0.041,91.507,4
93,Vou Te Mostrar o Neném,Vou Te Mostrar o Neném,MC Reizin,2021-07-23,141079,30,0.697,0.179,0.697,0.848,0.0,0.347,-8.257,0.294,165.023,4
94,traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,90,0.38,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,100.607,4
95,Without Me,Manic,Halsey,2020-01-17,201660,77,0.752,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4
96,Passa lá em casa vs Sem fazer Pirraça,Passa lá em casa vs Sem fazer Pirraça,Mc Rennan,2021-06-26,149333,24,0.536,0.317,0.536,0.669,0.0,0.305,-4.121,0.237,126.145,4
97,GR6 Convoca #01 (Relacionamentos),GR6 Convoca #01 (Relacionamentos),Mc Davi,2021-05-22,472615,56,0.558,0.564,0.558,0.448,0.0,0.109,-5.672,0.057,129.99,4
98,Se Soltó - Remix,Se Soltó (Remix),Street Word,2021-04-17,206158,5,0.843,0.0342,0.843,0.52,0.181,0.201,-8.902,0.228,92.03,4
99,Lost In The Wild,What If Nothing,WALK THE MOON,2017-11-10,235960,66,0.483,0.007,0.483,0.77,0.0,0.182,-4.829,0.0512,132.992,4
100,Hate You + Love You (feat. AJ Mitchell),Hate You + Love You (feat. AJ Mitchell),Cheat Codes,2021-02-05,198874,66,0.755,0.0693,0.755,0.689,0.0,0.394,-4.463,0.0305,140.013,4
101,Tomboy,Tomboy,Destiny Rogers,2019-02-28,203445,71,0.644,0.423,0.644,0.645,0.00512,0.116,-5.437,0.0557,77.998,4
102,Run,Run,OneRepublic,2021-05-05,169010,78,0.682,0.326,0.682,0.72,0.0,0.148,-8.173,0.0381,117.003,4
103,Little Bit of Love,Little Bit of Love (Acoustic),Tom Grennan,2021-01-29,226268,68,0.689,0.0833,0.689,0.706,0.0,0.105,-4.48,0.0312,106.52,4
104,Magia,Magia,Alvaro Soler,2021-03-05,192499,63,0.757,0.104,0.757,0.671,0.0,0.0729,-7.541,0.0422,133.008,4
105,Arcade,Small Town Boy (Track By Track),Duncan Laurence,2020-11-12,185146,74,0.453,0.827,0.453,0.35,0.00122,0.144,-11.639,0.0425,72.017,3
106,River,River,Tom Gregory,2021-03-19,189995,61,0.701,0.0237,0.701,0.621,0.0,0.232,-4.972,0.0556,110.03,4
107,Monsters (feat. Demi Lovato and blackbear),Monsters (feat. Demi Lovato and blackbear),All Time Low,2020-12-04,174424,68,0.51,0.0137,0.51,0.787,0.0,0.368,-3.712,0.0529,162.092,4
108,Gone Are The Days (feat. James Gillespie),Gone Are The Days (feat. James Gillespie),Kygo,2021-04-15,196677,0,0.528,0.355,0.528,0.453,1.06e-06,0.104,-9.398,0.0396,119.761,4
109,Conversations in the Dark - John Legend vs. David Guetta,Conversations in the Dark,John Legend,2020-02-14,210236,67,0.572,0.245,0.572,0.742,0.0,0.108,-4.589,0.0347,127.19,4
